name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
Starpoint Gemini Warlords,2017.0,73.0,6.0,2.7851518560179978,25.41,39.77,53.85,28.44,4X|Space Sim|Spaceships|Multiplayer|Strategy|Grand Strategy|Action|Tactical RPG|Strategy RPG|Controller|RPG|Early Access|Flight|3D|Moddable|Indie|Singleplayer|Simulation|Space|Third Person|Open World|Sandbox|Sci-fi
Battlefleet Gothic: Armada 2,2019.0,77.0,6.0,3.39144385026738,43.37,71.97,90.47,47.1,4X|Co-op Campaign|Multiplayer|Strategy|RTS|Games Workshop|Atmospheric|Tactical|Co-op|Warhammer 40K|Singleplayer|Simulation|Naval|Space|Violent|Real Time Tactics|Naval Combat|War|Sci-fi
Hard West,2015.0,73.0,6.0,3.226577437858509,12.43,21.99,29.41,16.98,Horror|Strategy|Action|Adventure|Turn-Based Combat|Atmospheric|Isometric|Tactical|Gore|Western|RPG|Turn-Based Tactics|Kickstarter|Survival|Indie|Singleplayer|Turn-Based Strategy|Third Person|Turn-Based|Open World
F1™ 2017,2017.0,89.0,8.0,6.772368421052631,32.52,33.02,377.36,344.84000000000003,Realistic|Racing|Automobile Sim|First-Person|VR|Multiplayer|Free to Play|Strategy|Action|Driving|Controller|Co-op|Sports|Simulation|Singleplayer|FPS|Open World
DG2: Defense Grid 2,2014.0,81.0,8.0,5.945945945945946,10.37,16.59,29.18,18.81,Space|Aliens|Kickstarter|Tower Defense|Multiplayer|Strategy|Indie|RTS|Co-op|Local Co-Op|Adventure|Singleplayer|Sci-fi
Expeditions: Viking,2017.0,74.0,8.0,4.9555189456342665,29.73,39.73,59.85,30.12,Story Rich|Historical|Multiplayer|Strategy|Tactical RPG|Adventure|Turn-Based Combat|CRPG|Character Customization|Tactical|Female Protagonist|RPG|Turn-Based Tactics|Indie|Party-Based RPG|Singleplayer|Vikings|Medieval|Choices Matter|Turn-Based|Hex Grid|Open World
Ember,2016.0,70.0,6.0,3.101321585903084,14.0,17.02,21.54,7.539999999999999,Classic|Story Rich|Action-Adventure|Isometric|Action RPG|CRPG|Indie|Hack and Slash|Loot|Strategy|Real-Time with Pause|Singleplayer|Action|Adventure|Fantasy|Epic|RPG|Beautiful
Per Aspera,2020.0,78.0,6.0,2.984100418410042,20.01,24.49,53.9,33.89,Automation|Story Rich|Strategy|Resource Management|Colony Sim|City Builder|Science|Real-Time with Pause|Artificial Intelligence|Mystery|Indie|Mars|Singleplayer|Simulation|Space|Minimalist|Difficult|Sandbox|Sci-fi
Distrust: Polar Survival,2017.0,75.0,6.0,2.6557377049180326,5.08,12.87,34.63,29.550000000000004,Horror|Procedural Generation|Multiplayer|Strategy|Adventure|Atmospheric|Exploration|Isometric|Tactical|Psychological Horror|Co-op|Top-Down|Survival Horror|Survival|Indie|Psychedelic|Singleplayer|Violent|Online Co-Op|Addictive|Lovecraftian|Sci-fi
Raw Data,2017.0,87.0,6.0,3.4650735294117645,5.44,9.64,17.09,11.65,Robots|Horror|Co-op Campaign|Multiplayer|Strategy|Action|Futuristic|VR|Atmospheric|Free to Play|Cyberpunk|Co-op|FPS|Early Access|Arcade|Survival|Indie|Shooter|Singleplayer|PvP|Online Co-Op|Sci-fi
